id,type,num_vehicles
346186,"['Car', 'Car']",2
346187,"['Car', 'Car']",2
346188,"['Motorcycle', 'Car']",2
346189,"['Pedalcycle', 'Car']",2
346190,"['Motorcycle', 'Car']",2
346191,"['Car', 'Car', 'Car']",3
346192,"['Motorcycle', 'Car']",2
346193,['Car'],1
346194,"['Pedalcycle', 'Car']",2
346195,['Car'],1
346196,"['Motorcycle', 'Car']",2
346197,"['Car', 'Car']",2
346198,"['Car', 'Car']",2
346199,"['Pedalcycle', 'Car']",2
346200,"['Car', 'Heavy_Vehicles']",2
346201,"['Car', 'Car']",2
346202,"['Motorcycle', 'Car']",2
346203,"['Car', 'Car']",2
346204,['Car'],1
346205,['Car'],1
346206,"['Car', 'Car']",2
346207,['Heavy_Vehicles'],1
346208,['Motorcycle'],1
346209,"['Motorcycle', 'Car']",2
346210,"['Car', 'Car']",2
346211,"['Motorcycle', 'Car']",2
346212,"['Car', 'Car']",2
346213,"['Car', 'Car']",2
346214,"['Motorcycle', 'Car']",2
346215,"['Pedalcycle', 'Car']",2
346216,"['Pedalcycle', 'Car']",2
346217,"['Pedalcycle', 'Car']",2
346218,['Car'],1
346219,"['Car', 'Car']",2
346220,"['Car', 'Car']",2
346221,"['Pedalcycle', 'Car']",2
346222,"['Pedalcycle', 'Car']",2
346223,"['Motorcycle', 'Car']",2
346224,['Motorcycle'],1
346225,['Heavy_Vehicles'],1
346226,"['Car', 'Car']",2
346227,"['Pedalcycle', 'Car']",2
346228,"['Motorcycle', 'Car']",2
346229,"['Pedalcycle', 'Pedalcycle']",2
346230,"['Car', 'Car']",2
346231,"['Car', 'Car']",2
346232,"['Car', 'Car']",2
346233,['Car'],1
346234,"['Car', 'Car']",2
346235,['Car'],1
346236,"['Car', 'Car']",2
346237,"['Motorcycle', 'Car']",2
346238,"['Pedalcycle', 'Other']",2
346239,"['Car', 'Car']",2
346240,['Car'],1
346241,"['Car', 'Car', 'Car']",3
346242,"['Pedalcycle', 'Motorcycle']",2
346243,['Pedalcycle'],1
346244,"['Pedalcycle', 'Heavy_Vehicles']",2
346245,['Car'],1
346246,"['Car', 'Other']",2
346247,"['Motorcycle', 'Car']",2
346248,['Car'],1
346249,['Car'],1
346250,['Motorcycle'],1
346251,['Car'],1
346252,['Heavy_Vehicles'],1
346253,['Heavy_Vehicles'],1
346254,"['Car', 'Car']",2
346255,['Heavy_Vehicles'],1
346256,"['Car', 'Car']",2
346257,['Heavy_Vehicles'],1
346258,"['Car', 'Car']",2
346259,"['Motorcycle', 'Car']",2
346260,"['Pedalcycle', 'Car']",2
346261,"['Motorcycle', 'Car']",2
346262,"['Car', 'Car']",2
346263,"['Pedalcycle', 'Car']",2
346264,['Car'],1
346265,"['Car', 'Car', 'Car', 'Car']",4
346266,"['Car', 'Car']",2
346267,['Car'],1
346268,['Car'],1
346269,"['Motorcycle', 'Car']",2
346270,"['Car', 'Car']",2
346271,"['Car', 'Car']",2
346272,"['Car', 'Car']",2
346273,['Car'],1
346274,['Car'],1
346275,"['Pedalcycle', 'Car']",2
346276,['Car'],1
346277,"['Motorcycle', 'Car']",2
346278,"['Pedalcycle', 'Car']",2
346279,"['Car', 'Car']",2
346280,['Car'],1
346281,['Car'],1
346282,"['Car', 'Car']",2
346283,"['Motorcycle', 'Car']",2
346284,"['Motorcycle', 'Car']",2
346285,"['Pedalcycle', 'Car', 'Car']",3
346286,"['Pedalcycle', 'Pedalcycle']",2
346287,['Heavy_Vehicles'],1
346288,"['Car', 'Car']",2
346289,"['Car', 'Car']",2
346290,"['Motorcycle', 'Car']",2
346291,"['Car', 'Car', 'Car']",3
346292,['Motorcycle'],1
346293,['Car'],1
346294,"['Motorcycle', 'Car']",2
346295,"['Car', 'Car']",2
346296,['Car'],1
346297,"['Motorcycle', 'Car']",2
346298,['Car'],1
346299,['Car'],1
346300,['Car'],1
346301,"['Car', 'Other']",2
346302,"['Car', 'Car']",2
346303,"['Pedalcycle', 'Car']",2
346304,"['Car', 'Car']",2
346305,['Car'],1
346306,"['Motorcycle', 'Car']",2
346307,"['Car', 'Car']",2
346308,"['Car', 'Car']",2
346309,"['Pedalcycle', 'Car']",2
346310,"['Car', 'Car']",2
346311,"['Pedalcycle', 'Car']",2
346312,['Car'],1
346313,['Heavy_Vehicles'],1
346314,"['Motorcycle', 'Car']",2
346315,['Car'],1
346316,"['Motorcycle', 'Car']",2
346317,"['Motorcycle', 'Car']",2
346318,['Car'],1
346319,['Car'],1
346320,"['Pedalcycle', 'Car']",2
346321,['Car'],1
346322,"['Car', 'Car']",2
346323,['Pedalcycle'],1
346324,['Other'],1
346325,"['Car', 'Car', 'Car']",3
346326,"['Car', 'Car']",2
346327,['Car'],1
346328,"['Car', 'Car']",2
346329,"['Car', 'Car', 'Car']",3
346330,"['Car', 'Car']",2
346331,['Motorcycle'],1
346332,"['Motorcycle', 'Car']",2
346333,['Car'],1
346334,"['Pedalcycle', 'Car']",2
346335,"['Car', 'Car']",2
346336,"['Car', 'Car']",2
346337,"['Car', 'Car']",2
346338,['Car'],1
346339,"['Motorcycle', 'Car']",2
346340,"['Car', 'Car']",2
346341,"['Car', 'Car']",2
346342,['Car'],1
346343,"['Car', 'Heavy_Vehicles']",2
346344,"['Car', 'Car']",2
346345,"['Pedalcycle', 'Car']",2
346346,['Motorcycle'],1
346347,['Car'],1
346348,['Heavy_Vehicles'],1
346349,"['Motorcycle', 'Car']",2
346350,['Heavy_Vehicles'],1
346351,"['Car', 'Car']",2
346352,"['Car', 'Heavy_Vehicles']",2
346353,"['Motorcycle', 'Car']",2
346354,"['Car', 'Car']",2
346355,"['Motorcycle', 'Car']",2
346356,"['Car', 'Car', 'Car']",3
346357,['Motorcycle'],1
346358,"['Car', 'Car', 'Car', 'Car', 'Car', 'Car', 'Car']",7
346359,"['Motorcycle', 'Car']",2
346360,['Car'],1
346361,"['Car', 'Heavy_Vehicles']",2
346362,"['Car', 'Car']",2
346363,['Car'],1
346364,"['Pedalcycle', 'Car']",2
346365,"['Motorcycle', 'Car']",2
346366,"['Car', 'Car', 'Car']",3
346367,['Car'],1
346368,['Heavy_Vehicles'],1
346369,['Heavy_Vehicles'],1
346370,['Car'],1
346371,['Car'],1
346372,['Heavy_Vehicles'],1
346373,"['Car', 'Car']",2
346374,"['Pedalcycle', 'Car']",2
346375,['Car'],1
346376,"['Car', 'Heavy_Vehicles']",2
346377,"['Car', 'Car']",2
346378,['Car'],1
346379,"['Pedalcycle', 'Car']",2
346380,['Car'],1
346381,['Car'],1
346382,"['Pedalcycle', 'Car']",2
346383,['Car'],1
346384,"['Motorcycle', 'Car']",2
346385,['Car'],1
346386,"['Car', 'Car']",2
346387,['Car'],1
346388,['Motorcycle'],1
346389,['Heavy_Vehicles'],1
346390,"['Motorcycle', 'Other']",2
346391,['Car'],1
346392,"['Car', 'Car']",2
346393,"['Pedalcycle', 'Car']",2
346394,['Car'],1
346395,['Car'],1
346396,['Car'],1
346397,"['Car', 'Car']",2
346398,['Car'],1
346399,"['Pedalcycle', 'Car']",2
346400,"['Car', 'Car']",2
346401,"['Pedalcycle', 'Car']",2
346402,"['Pedalcycle', 'Car']",2
346403,"['Pedalcycle', 'Car']",2
346404,['Motorcycle'],1
346405,"['Car', 'Car']",2
346406,"['Car', 'Car']",2
346407,"['Pedalcycle', 'Car']",2
346408,"['Motorcycle', 'Car']",2
346409,['Car'],1
346410,"['Pedalcycle', 'Car']",2
346411,"['Pedalcycle', 'Car']",2
346412,['Car'],1
346413,"['Car', 'Heavy_Vehicles']",2
346414,"['Motorcycle', 'Car']",2
346415,"['Car', 'Car']",2
346416,"['Motorcycle', 'Car']",2
346417,"['Car', 'Car']",2
346418,['Car'],1
346419,"['Car', 'Car']",2
346420,"['Car', 'Car']",2
346421,"['Car', 'Car']",2
346422,['Car'],1
346423,['Car'],1
346424,"['Car', 'Car', 'Car', 'Car']",4
346425,"['Motorcycle', 'Car']",2
346426,"['Motorcycle', 'Car']",2
346427,['Car'],1
346428,"['Car', 'Car']",2
346429,['Car'],1
346430,['Car'],1
346431,"['Pedalcycle', 'Car']",2
346432,"['Motorcycle', 'Car']",2
346433,"['Motorcycle', 'Car']",2
346434,['Heavy_Vehicles'],1
346435,"['Motorcycle', 'Car']",2
346436,"['Motorcycle', 'Car']",2
346437,"['Motorcycle', 'Car']",2
346438,"['Car', 'Car', 'Car']",3
346439,['Motorcycle'],1
346440,"['Car', 'Car']",2
346441,"['Car', 'Car']",2
346442,"['Car', 'Car']",2
346443,['Car'],1
346444,"['Car', 'Car']",2
346445,"['Car', 'Car']",2
346446,"['Car', 'Heavy_Vehicles']",2
346447,"['Pedalcycle', 'Motorcycle']",2
346448,['Heavy_Vehicles'],1
346449,"['Pedalcycle', 'Motorcycle']",2
346450,['Car'],1
346451,['Pedalcycle'],1
346452,"['Motorcycle', 'Car']",2
346453,['Heavy_Vehicles'],1
346454,"['Car', 'Heavy_Vehicles']",2
346455,"['Motorcycle', 'Car']",2
346456,"['Pedalcycle', 'Car']",2
346457,['Motorcycle'],1
346458,"['Car', 'Car']",2
346459,"['Car', 'Heavy_Vehicles']",2
346460,"['Car', 'Car']",2
346461,"['Pedalcycle', 'Car']",2
346462,"['Car', 'Car']",2
346463,"['Car', 'Car']",2
346464,['Heavy_Vehicles'],1
346465,['Heavy_Vehicles'],1
346466,"['Car', 'Car']",2
346467,"['Car', 'Car']",2
346468,"['Pedalcycle', 'Other']",2
346469,['Other'],1
346470,"['Car', 'Car']",2
346471,['Motorcycle'],1
346472,['Heavy_Vehicles'],1
346473,"['Car', 'Car', 'Car', 'Car']",4
346474,"['Car', 'Car']",2
346475,"['Motorcycle', 'Car']",2
346476,"['Car', 'Car']",2
346477,"['Motorcycle', 'Car']",2
346478,['Car'],1
346479,['Car'],1
346480,"['Pedalcycle', 'Car']",2
346481,"['Car', 'Car']",2
346482,"['Car', 'Car', 'Car']",3
346483,"['Motorcycle', 'Car']",2
346484,"['Motorcycle', 'Heavy_Vehicles']",2
346485,"['Pedalcycle', 'Car']",2
346486,"['Car', 'Other']",2
346487,['Car'],1
346488,"['Car', 'Car']",2
346489,"['Car', 'Car']",2
346490,['Motorcycle'],1
346491,['Car'],1
346492,"['Motorcycle', 'Car']",2
346493,['Car'],1
346494,"['Pedalcycle', 'Motorcycle']",2
346495,['Car'],1
346496,['Heavy_Vehicles'],1
346497,['Car'],1
346498,"['Motorcycle', 'Car']",2
346499,"['Pedalcycle', 'Heavy_Vehicles']",2
346500,['Heavy_Vehicles'],1
346501,"['Motorcycle', 'Car']",2
346502,"['Car', 'Other']",2
346503,['Car'],1
346504,['Motorcycle'],1
346505,"['Car', 'Car', 'Car']",3
346506,['Car'],1
346507,['Car'],1
346508,"['Pedalcycle', 'Car']",2
346509,"['Car', 'Car']",2
346510,"['Car', 'Heavy_Vehicles']",2
346511,"['Motorcycle', 'Car']",2
346512,"['Pedalcycle', 'Car']",2
346513,"['Car', 'Car', 'Car']",3
346514,['Car'],1
346515,"['Pedalcycle', 'Car']",2
346516,"['Motorcycle', 'Car']",2
346517,"['Car', 'Car']",2
346518,['Car'],1
346519,"['Car', 'Car']",2
346520,"['Motorcycle', 'Car']",2
346521,"['Car', 'Car']",2
346522,"['Pedalcycle', 'Car']",2
346523,"['Car', 'Car']",2
346524,"['Car', 'Car']",2
346525,"['Pedalcycle', 'Motorcycle']",2
346526,['Car'],1
346527,"['Pedalcycle', 'Car']",2
346528,['Car'],1
346529,"['Car', 'Car', 'Car']",3
346530,['Motorcycle'],1
346531,"['Car', 'Car', 'Car', 'Car']",4
346532,['Car'],1
346533,"['Car', 'Car']",2
346534,['Car'],1
346535,['Pedalcycle'],1
346536,"['Motorcycle', 'Car']",2
346537,"['Pedalcycle', 'Motorcycle']",2
346538,"['Pedalcycle', 'Car']",2
346539,"['Motorcycle', 'Car']",2
346540,"['Motorcycle', 'Car']",2
346541,['Car'],1
346542,"['Motorcycle', 'Car']",2
346543,"['Pedalcycle', 'Car']",2
346544,"['Pedalcycle', 'Heavy_Vehicles']",2
346545,"['Pedalcycle', 'Car']",2
346546,"['Car', 'Car']",2
346547,['Motorcycle'],1
346548,['Heavy_Vehicles'],1
346549,['Heavy_Vehicles'],1
346550,['Car'],1
346551,['Car'],1
346552,"['Car', 'Heavy_Vehicles']",2
346553,"['Motorcycle', 'Car']",2
346554,"['Pedalcycle', 'Car']",2
346555,"['Motorcycle', 'Car']",2
346556,"['Car', 'Car', 'Car']",3
346557,['Heavy_Vehicles'],1
346558,"['Car', 'Car']",2
346559,['Car'],1
346560,"['Motorcycle', 'Car']",2
346561,"['Car', 'Car']",2
346562,"['Car', 'Car']",2
346563,['Heavy_Vehicles'],1
346564,['Car'],1
346565,"['Car', 'Car']",2
346566,"['Car', 'Car']",2
346567,"['Car', 'Car']",2
346568,"['Motorcycle', 'Car']",2
346569,"['Car', 'Car']",2
346570,"['Car', 'Car']",2
346571,"['Pedalcycle', 'Car']",2
346572,['Car'],1
346573,"['Car', 'Car']",2
346574,"['Motorcycle', 'Car']",2
346575,"['Motorcycle', 'Car']",2
346576,['Car'],1
346577,['Pedalcycle'],1
346578,"['Car', 'Car']",2
346579,"['Pedalcycle', 'Car']",2
346580,['Car'],1
346581,['Car'],1
346582,['Motorcycle'],1
346583,['Car'],1
346584,"['Motorcycle', 'Car', 'Car', 'Heavy_Vehicles']",4
346585,['Car'],1
346586,"['Car', 'Car']",2
346587,"['Car', 'Car', 'Heavy_Vehicles']",3
346588,"['Car', 'Car']",2
346589,['Car'],1
346590,['Car'],1
346591,"['Motorcycle', 'Car']",2
346592,['Car'],1
346593,"['Motorcycle', 'Car']",2
346594,"['Pedalcycle', 'Car']",2
346595,"['Car', 'Car']",2
346596,"['Car', 'Car']",2
346597,"['Motorcycle', 'Car']",2
346598,['Pedalcycle'],1
346599,"['Motorcycle', 'Car']",2
346600,"['Motorcycle', 'Car']",2
346601,"['Car', 'Car']",2
346602,"['Car', 'Car', 'Car']",3
346603,['Car'],1
346604,"['Motorcycle', 'Heavy_Vehicles']",2
346605,['Car'],1
346606,"['Motorcycle', 'Car']",2
346607,['Car'],1
346608,['Car'],1
346609,['Heavy_Vehicles'],1
346610,"['Motorcycle', 'Car']",2
346611,"['Car', 'Car']",2
346612,"['Pedalcycle', 'Car']",2
346613,['Car'],1
346614,"['Motorcycle', 'Car']",2
346615,['Car'],1
346616,"['Motorcycle', 'Car']",2
346617,['Pedalcycle'],1
346618,"['Car', 'Car', 'Car']",3
346619,"['Car', 'Heavy_Vehicles', 'Heavy_Vehicles']",3
346620,['Car'],1
346621,"['Pedalcycle', 'Car']",2
346622,"['Car', 'Other']",2
346623,"['Pedalcycle', 'Pedalcycle']",2
346624,"['Pedalcycle', 'Car']",2
346625,"['Pedalcycle', 'Car']",2
346626,['Heavy_Vehicles'],1
346627,"['Motorcycle', 'Car']",2
346628,"['Pedalcycle', 'Car']",2
346629,"['Car', 'Car']",2
346630,['Motorcycle'],1
346631,['Car'],1
346632,"['Car', 'Heavy_Vehicles']",2
346633,['Car'],1
346634,"['Car', 'Car']",2
346635,['Heavy_Vehicles'],1
346636,"['Motorcycle', 'Car']",2
346637,"['Car', 'Car']",2
346638,['Heavy_Vehicles'],1
346639,"['Motorcycle', 'Motorcycle']",2
346640,"['Motorcycle', 'Car']",2
346641,"['Car', 'Heavy_Vehicles']",2
346642,"['Car', 'Car', 'Car']",3
346643,['Car'],1
346644,"['Car', 'Car', 'Car', 'Car', 'Car', 'Car']",6
346645,['Heavy_Vehicles'],1
